conceptID	entrezgeneID
3065023	6480
3059038	3292
3059042	3294
3063721	154
3063720	155
3063385	567
3059658	3350
3000047	634
3064303	2532
3063244	2995
3063840	3792
3055969	6563
3000340	2525
3064660	4059
3062076	3386
3065536	6007
3065535	6006
3000388	2994
3064609	941
3064667	973
3053260	931
3065671	632
3065905	650
3065906	652
3065683	651
3065918	649
3065899	653
3065900	654
3065887	655
3064073	624
3064080	627
3055726	7533
3063255	586
3057937	587
3061501	672
3052521	7031
3059346	5458
3052009	7350
3000049	667
3056856	1308
3064107	728
3057860	1013
3057926	1000
3054043	1001
3056375	1496
3064206	793
3063112	794
3063260	309
3061252	6281
3064382	831
3056130	5530
3056105	5532
3056126	5533
3065243	6277
3000055	796
3054684	799
3064365	826
3064347	801
3064347	805
3064347	808
3060501	810
3064181	781
3065951	775
3065982	776
3065958	779
3064192	786
3000057	828
3000056	800
3064360	821
3064352	823
3064356	824
3064354	825
3064386	845
3000079	1043
3064904	8021
3057673	1268
3065964	761
3065936	762
3065962	763
3065960	766
3065959	765
3065948	759
3065940	767
3064434	873
3058037	1066
3057048	1357
3057050	1359
3052874	1360
3057040	1363
3057033	1368
3000080	1048
3057242	1404
3067719	4146
3054613	1457
3056336	1460
3056345	1459
3000129	1446
3056498	1447
3064375	847
3052123	7306
3056864	1312
3056356	1495
3056379	1499
3056746	1508
3056735	1512
3052847	1511
3063249	2999
3056749	1509
3056719	1520
3000137	1514
3056734	1510
3054218	1523
3057893	1050
3057888	1052
3057855	1026
3058270	1163
3051214	1164
3066285	4684
3064693	983
3057771	4171
3051902	996
3059987	993
3052754	997
3059986	994
null	985
3000075	998
3057858	1017
3058626	7555
3058113	5933
3058028	1058
3058029	1059
3058033	1060
3058032	1062
3057047	1356
3059667	3329
3000090	1123
3057350	1180
3064416	885
3064415	886
3064422	887
3055977	1581
3000082	1071
3055975	1583
3057453	1119
3054767	1129
3057464	1131
3057462	1132
3058319	1133
3058323	1135
3058332	1137
3058331	1138
3058314	1141
3055974	1142
3055835	1143
3057444	1128
3058333	1139
3056337	1462
3057442	1122
3054119	1081
3058666	1082
3056748	1506
3000135	1504
3057703	1215
3057669	1270
3057668	1271
3056489	1431
3057693	1213
3057702	1211
3054659	1212
3060253	6744
3056701	1285
3057684	1284
3057532	1208
3056861	1300
3057638	1294
3055603	1282
3057687	1286
3057682	1280
3057680	1277
3057681	1278
3056871	1310
3057683	1281
3057645	1290
3057640	1297
3057628	1289
3066682	50509
3057642	1291
3057644	1293
3057637	1295
3057601	1298
3057596	1299
3056858	1301
3056863	1302
3056860	1303
3059526	7373
3056839	1306
3056838	1307
3066160	80781
3056862	1305
3055970	4312
3068855	4317
3061173	4313
3061171	4318
3056485	1435
3061259	4436
3061174	4292
3056042	1630
3066246	4311
3064136	712
3064135	713
3064133	714
3054086	22918
3064093	716
3000121	1378
3056988	1380
3064091	718
3064082	720
3064088	722
3064085	725
3057484	727
3068955	4179
3061703	733
3063787	735
3064110	731
3064111	732
3064592	3684
3056350	1490
3065968	2706
3065895	2697
3064190	2700
3053749	2201
3057035	1371
3064399	865
3064403	866
3056401	1548
3068642	4488
3057235	1401
3058329	1152
3058285	1159
3052826	1160
3058283	1158
3057234	1409
3056467	1410
3056468	1411
3056499	1415
3056504	1417
3056502	1413
3000126	1418
3056503	1419
3056509	1420
3056510	1421
3056513	1429
3070289	5130
3056512	1427
3061522	466
3067606	5139
3056987	1385
3056977	1386
3000122	1390
3057720	1259
3000076	1018
3058181	1019
3057672	1267
3057870	1020
3057851	1033
3057612	894
3064454	896
3064443	890
3064846	891
3064451	898
3064449	892
3000735	5478
3056141	5479
3056140	5480
3000130	1469
3000131	1470
3000132	1472
3056328	1473
3058507	833
3056742	1503
3056882	1327
3056895	1329
3057085	1351
3056970	1396
3056340	1465
3054615	6279
3058836	6280
3062411	3588
