omimID	conceptID	semtype
208050	1859726	-47
203800	268425	-47
122455	1852540	-47
182410	282492	-47
270220	1849195	-47
167950	1868647	-47
101900	265971	-47
121390	1852558	-47
143100	20179	-47
180100	220701	-47
180104	1867300	-47
180105	1867299	-47
208085	1859722	-47
110100	220663	-47
137700	1842030	-47
607208	1846618	-47
248200	1858080	-47
304020	1844777	-47
137765	1842024	-47
181270	1867020	-47
250800	268193	-47
217500	155120	-47
137760	1863926	-47
137763	1842025	-47
256600	270724	-47
181250	1867021	-47
137750	1842028	-47
605280	1854467	-47
605282	1854466	-47
244510	1855647	-47
605289	1854442	-47
120970	35334	-47
277440	268690	-47
277450	1848534	-47
205200	1859806	-47
607540	1843757	-47
607541	1275685	-47
231200	5129	-47
181180	1867023	-47
607565	1843661	-47
277400	1848561	-47
193500	1847800	-47
153700	2745945	-47
221740	1857333	-47
193510	1860339	-47
243400	2673469	-47
144110	1274743	-47
193520	553586	-47
160900	2931688	-47
144100	162473	-47
606482	1847902	-47
193530	457013	-47
146300	268413	-47
606408	1848029	-47
216550	265223	-47
611081	1970207	-47
611087	1970203	-47
148520	1835663	-47
606438	1847987	-47
201020	265303	-47
204100	1859844	-47
606445	1847973	-47
243440	432364	-47
221770	1857316	-47
123790	1852406	-47
604286	1858593	-47
160980	2607929	-47
604290	878682	-47
604292	1858562	-47
144190	1840428	-47
116800	1861784	-47
189700	1861044	-47
604233	1858676	-47
604232	1858677	-47
153650	398641	-47
269000	392475	-47
605316	1854414	-47
123700	268350	-47
611022	1970239	-47
606391	342276	-47
239710	1855904	-47
153640	403445	-47
239711	1855903	-47
116850	1861799	-47
604257	1858661	-47
604250	1858664	-47
606394	1853371	-47
606392	1833382	-47
612572	2675496	-47
607473	1843832	-47
612577	2675491	-47
275250	1848756	-47
607476	1843815	-47
116860	1861784	-47
275240	276742	-47
612580	2675488	-47
190400	40997	-47
605355	1854380	-47
190410	410060	-47
604219	1858679	-47
276710	268623	-47
607485	1843792	-47
607483	1843807	-47
604213	1858695	-47
604218	1858680	-47
210720	1859451	-47
605375	1854335	-47
605373	1854336	-47
277470	1848526	-47
275200	242604	-47
612526	2675861	-47
612527	2675860	-47
612541	2675526	-47
605362	1854368	-47
277460	1848533	-47
605361	1854369	-47
612539	2675528	-47
217700	1857569	-47
310700	1839580	-47
242300	1855789	-47
277480	1848525	-47
612561	2931850	-47
605387	1854311	-47
275210	406585	-47
151100	175704	-47
277320	1848586	-47
605192	1854594	-47
607417	1843942	-47
244400	22521	-47
149500	263382	-47
277300	265343	-47
132400	1851538	-47
190350	432233	-47
190351	1860823	-47
308050	265267	-47
231100	268059	-47
278810	1848409	-47
607450	1843896	-47
275190	1848793	-47
607453	1843895	-47
607459	1843852	-47
221800	432288	-47
221810	1857301	-47
607432	1848201	-47
540000	162671	-47
146255	1840333	-47
606353	1853396	-47
606369	238111	-47
278850	2749215	-47
611162	2720293	-47
606346	1853441	-47
191482	1860605	-47
191480	432347	-47
604091	2931838	-47
146200	1840334	-47
182610	1866854	-47
606324	1853445	-47
243300	1855731	-47
232600	17924	-47
191440	1860614	-47
204200	2931674	-47
246200	271689	-47
191420	1860615	-47
612630	2675460	-47
604187	1858712	-47
611105	1970180	-47
123880	29438	-47
116920	398738	-47
604173	1858723	-47
241100	151721	-47
153550	740302	-47
191400	1860616	-47
604168	1858726	-47
239850	795905	-47
182601	1866855	-47
144050	272273	-47
604154	1858751	-47
182600	2931355	-47
604145	1858763	-47
241150	268444	-47
604131	39730	-47
216700	1857624	-47
604121	1858804	-47
604129	1275114	-47
241120	1855856	-47
611131	1970163	-47
611136	1970160	-47
144010	1704417	-47
611134	1970161	-47
604117	1858805	-47
604116	1858806	-47
605233	1854565	-47
607371	1846331	-47
190300	1860861	-47
607364	1846343	-47
607361	1846357	-47
612690	2675192	-47
605203	1854586	-47
607341	1846385	-47
277380	1848578	-47
217800	1636149	-47
605274	1854470	-47
244450	1855663	-47
190340	1860850	-47
190345	1860849	-47
244460	1855648	-47
612651	2675227	-47
605253	393818	-47
612653	2675212	-47
310600	266526	-47
605258	1720956	-47
605259	1854488	-47
210600	265202	-47
151210	1835438	-47
500007	1838991	-47
500001	1839040	-47
500004	271097	-47
500000	1708371	-47
605249	1854520	-47
190320	265333	-47
151200	1835450	-47
612656	2675211	-47
276600	268487	-47
277610	1848488	-47
612370	2675302	-47
267000	796113	-47
148390	2675099	-47
612391	2749476	-47
205400	39292	-47
607745	1843140	-47
238320	2673496	-47
145001	1840394	-47
148350	1835672	-47
607778	1843096	-47
310500	339535	-47
278740	1848411	-47
193300	19562	-47
188030	43117	-47
278750	1848410	-47
241080	342286	-47
239400	282526	-47
188020	272282	-47
